"ts","live","ended","period","elapsed","score","best_bid","best_ask","last_trade","spread"
"1/23/2026, 1:54:21 AM","","","","","","0.997","0.998","0.997","0.001"
"1/23/2026, 1:54:16 AM","","","","","","0.997","0.998","0.997","0.001"
"1/23/2026, 1:54:01 AM","","","","","","0.997","0.998","0.997","0.001"
"1/23/2026, 1:53:51 AM","","","","","","0.997","0.998","0.997","0.001"
"1/23/2026, 1:53:48 AM","","","","","","0.997","0.998","0.997","0.001"
"1/23/2026, 1:53:33 AM","","","","","","0.997","0.998","0.997","0.001"
"1/23/2026, 1:53:21 AM","","","","","","0.997","0.998","0.997","0.001"
"1/23/2026, 1:53:16 AM","","","","","","0.997","0.998","0.997","0.001"
"1/23/2026, 1:53:01 AM","","","","","","0.997","0.998","0.997","0.001"
"1/23/2026, 1:52:51 AM","","","","","","0.997","0.998","0.997","0.001"
"1/23/2026, 1:52:50 AM","","","","","","0.997","0.998","0.997","0.001"
"1/23/2026, 1:52:46 AM","","","","","","0.997","0.998","0.997","0.001"
"1/23/2026, 1:52:20 AM","","","","","","0.997","0.998","0.997","0.001"
"1/23/2026, 1:52:19 AM","","","","","","0.997","0.998","0.997","0.001"
"1/23/2026, 1:52:16 AM","","","","","","0.997","0.998","0.997","0.001"
"1/23/2026, 1:51:50 AM","","","","","","0.997","0.998","0.997","0.001"
"1/23/2026, 1:51:49 AM","","","","","","0.997","0.998","0.997","0.001"
"1/23/2026, 1:51:45 AM","","","","","","0.997","0.998","0.997","0.001"
"1/23/2026, 1:51:20 AM","","","","","","0.993","0.995","0.993","0.002"
"1/23/2026, 1:51:18 AM","","","","","","0.993","0.995","0.993","0.002"
"1/23/2026, 1:51:15 AM","","","","","","0.993","0.995","0.993","0.002"
"1/23/2026, 1:50:50 AM","","","","","","0.993","0.995","0.993","0.002"
"1/23/2026, 1:50:48 AM","","","","","","0.993","0.995","0.993","0.002"
"1/23/2026, 1:50:45 AM","","","","","","0.993","0.995","0.993","0.002"
"1/23/2026, 1:50:20 AM","","","","","","0.993","0.995","0.993","0.002"
"1/23/2026, 1:50:18 AM","","","","","","0.993","0.995","0.993","0.002"
"1/23/2026, 1:50:15 AM","","","","","","0.993","0.995","0.993","0.002"
"1/23/2026, 1:49:50 AM","","","","","","0.993","0.995","0.993","0.002"
"1/23/2026, 1:49:48 AM","","","","","","0.993","0.995","0.993","0.002"
"1/23/2026, 1:49:45 AM","","","","","","0.993","0.995","0.993","0.002"
"1/23/2026, 1:49:20 AM","","","","","","0.993","0.995","0.993","0.002"
"1/23/2026, 1:49:18 AM","","","","","","0.993","0.995","0.993","0.002"
"1/23/2026, 1:49:15 AM","","","","","","0.993","0.995","0.993","0.002"
"1/23/2026, 1:48:57 AM","","","","","","0.98","0.984","0.981","0.004"
"1/23/2026, 1:48:50 AM","","","","","","0.98","0.984","0.981","0.004"
"1/23/2026, 1:48:45 AM","","","","","","0.98","0.984","0.981","0.004"
"1/23/2026, 1:48:27 AM","","","","","","0.98","0.984","0.981","0.004"
"1/23/2026, 1:48:20 AM","","","","","","0.98","0.984","0.981","0.004"
"1/23/2026, 1:48:15 AM","","","","","","0.98","0.984","0.981","0.004"
"1/23/2026, 1:47:57 AM","","","","","","0.98","0.984","0.981","0.004"
"1/23/2026, 1:47:50 AM","","","","","","0.98","0.984","0.981","0.004"
"1/23/2026, 1:47:45 AM","","","","","","0.98","0.984","0.981","0.004"
"1/23/2026, 1:47:27 AM","","","","","","0.98","0.984","0.981","0.004"
"1/23/2026, 1:47:20 AM","","","","","","0.98","0.984","0.981","0.004"
"1/23/2026, 1:47:15 AM","","","","","","0.98","0.984","0.981","0.004"
"1/23/2026, 1:46:57 AM","","","","","","0.98","0.984","0.981","0.004"
"1/23/2026, 1:46:50 AM","","","","","","0.98","0.984","0.981","0.004"
"1/23/2026, 1:46:46 AM","","","","","","0.98","0.984","0.981","0.004"
"1/23/2026, 1:46:27 AM","","","","","","0.975","0.98","0.978","0.005"
"1/23/2026, 1:46:20 AM","","","","","","0.975","0.98","0.978","0.005"
"1/23/2026, 1:46:15 AM","","","","","","0.975","0.98","0.978","0.005"
"1/23/2026, 1:45:57 AM","","","","","","0.975","0.98","0.978","0.005"
"1/23/2026, 1:45:50 AM","","","","","","0.975","0.98","0.978","0.005"
"1/23/2026, 1:45:45 AM","","","","","","0.975","0.98","0.978","0.005"
"1/23/2026, 1:45:27 AM","","","","","","0.975","0.98","0.978","0.005"
"1/23/2026, 1:45:20 AM","","","","","","0.975","0.98","0.978","0.005"
"1/23/2026, 1:45:15 AM","","","","","","0.975","0.98","0.978","0.005"
"1/23/2026, 1:44:57 AM","","","","","","0.975","0.98","0.978","0.005"
"1/23/2026, 1:44:50 AM","","","","","","0.975","0.98","0.978","0.005"
"1/23/2026, 1:44:45 AM","","","","","","0.975","0.98","0.978","0.005"
"1/23/2026, 1:44:22 AM","","","","","","0.975","0.98","0.978","0.005"
"1/23/2026, 1:44:17 AM","","","","","","0.975","0.98","0.978","0.005"
"1/23/2026, 1:43:59 AM","","","","","","0.975","0.98","0.978","0.005"
"1/23/2026, 1:43:52 AM","","","","","","0.975","0.98","0.978","0.005"
"1/23/2026, 1:43:48 AM","","","","","","0.975","0.98","0.978","0.005"
"1/23/2026, 1:43:30 AM","","","","","","0.975","0.98","0.978","0.005"
"1/23/2026, 1:43:23 AM","","","","","","0.975","0.98","0.978","0.005"
"1/23/2026, 1:43:17 AM","","","","","","0.975","0.98","0.978","0.005"
"1/23/2026, 1:43:00 AM","","","","","","0.974","0.98","0.98","0.006"
"1/23/2026, 1:42:52 AM","","","","","","0.974","0.98","0.98","0.006"
"1/23/2026, 1:42:48 AM","","","","","","0.974","0.98","0.98","0.006"
"1/23/2026, 1:42:30 AM","","","","","","0.974","0.98","0.98","0.006"
"1/23/2026, 1:42:22 AM","","","","","","0.974","0.98","0.98","0.006"
"1/23/2026, 1:42:17 AM","","","","","","0.974","0.98","0.98","0.006"
"1/23/2026, 1:41:57 AM","","","","","","0.974","0.98","0.98","0.006"
"1/23/2026, 1:41:50 AM","","","","","","0.974","0.98","0.98","0.006"
"1/23/2026, 1:41:45 AM","","","","","","0.974","0.98","0.98","0.006"
"1/23/2026, 1:41:27 AM","","","","","","0.974","0.98","0.98","0.006"
"1/23/2026, 1:41:23 AM","","","","","","0.97","0.99","0.98","0.020"
"1/23/2026, 1:41:18 AM","","","","","","0.97","0.99","0.98","0.020"
"1/23/2026, 1:40:57 AM","","","","","","0.97","0.99","0.98","0.020"
"1/23/2026, 1:40:50 AM","","","","","","0.97","0.99","0.98","0.020"
"1/23/2026, 1:40:45 AM","","","","","","0.97","0.99","0.98","0.020"
"1/23/2026, 1:40:27 AM","","","","","","0.97","0.99","0.98","0.020"
"1/23/2026, 1:40:20 AM","","","","","","0.97","0.99","0.98","0.020"
"1/23/2026, 1:40:15 AM","","","","","","0.97","0.99","0.98","0.020"
"1/23/2026, 1:39:57 AM","","","","","","0.97","0.99","0.98","0.020"
"1/23/2026, 1:39:50 AM","","","","","","0.97","0.99","0.98","0.020"
"1/23/2026, 1:39:45 AM","","","","","","0.97","0.99","0.98","0.020"
"1/23/2026, 1:39:27 AM","","","","","","0.94","0.95","0.96","0.010"
"1/23/2026, 1:39:20 AM","","","","","","0.94","0.95","0.96","0.010"
"1/23/2026, 1:39:15 AM","","","","","","0.94","0.95","0.96","0.010"
"1/23/2026, 1:39:02 AM","","","","","","0.94","0.95","0.96","0.010"
"1/23/2026, 1:38:50 AM","","","","","","0.94","0.95","0.96","0.010"
"1/23/2026, 1:38:45 AM","","","","","","0.94","0.95","0.96","0.010"
"1/23/2026, 1:38:27 AM","","","","","","0.94","0.95","0.96","0.010"
"1/23/2026, 1:38:20 AM","","","","","","0.94","0.95","0.96","0.010"
"1/23/2026, 1:38:15 AM","","","","","","0.94","0.95","0.96","0.010"
"1/23/2026, 1:37:57 AM","","","","","","0.94","0.95","0.96","0.010"
"1/23/2026, 1:37:50 AM","","","","","","0.94","0.95","0.96","0.010"
"1/23/2026, 1:37:45 AM","","","","","","0.94","0.95","0.96","0.010"
"1/23/2026, 1:37:27 AM","","","","","","0.94","0.95","0.95","0.010"
"1/23/2026, 1:37:20 AM","","","","","","0.94","0.95","0.95","0.010"
"1/23/2026, 1:37:15 AM","","","","","","0.94","0.95","0.95","0.010"
"1/23/2026, 1:36:57 AM","","","","","","0.94","0.95","0.95","0.010"
"1/23/2026, 1:36:50 AM","","","","","","0.94","0.95","0.95","0.010"
"1/23/2026, 1:36:45 AM","","","","","","0.94","0.95","0.95","0.010"
"1/23/2026, 1:36:27 AM","","","","","","0.94","0.95","0.95","0.010"
"1/23/2026, 1:36:20 AM","","","","","","0.94","0.95","0.95","0.010"
"1/23/2026, 1:36:18 AM","","","","","","0.94","0.95","0.95","0.010"
"1/23/2026, 1:35:58 AM","","","","","","0.94","0.95","0.95","0.010"
"1/23/2026, 1:35:50 AM","","","","","","0.94","0.95","0.95","0.010"
"1/23/2026, 1:35:48 AM","","","","","","0.94","0.95","0.95","0.010"
"1/23/2026, 1:35:30 AM","","","","","","0.94","0.95","0.95","0.010"
"1/23/2026, 1:35:20 AM","","","","","","0.94","0.95","0.95","0.010"
"1/23/2026, 1:35:19 AM","","","","","","0.94","0.95","0.95","0.010"
"1/23/2026, 1:34:58 AM","","","","","","0.91","0.92","0.92","0.010"
"1/23/2026, 1:34:53 AM","","","","","","0.91","0.92","0.92","0.010"
"1/23/2026, 1:34:48 AM","","","","","","0.91","0.92","0.92","0.010"
"1/23/2026, 1:34:27 AM","","","","","","0.91","0.92","0.92","0.010"
"1/23/2026, 1:34:20 AM","","","","","","0.91","0.92","0.92","0.010"
"1/23/2026, 1:34:16 AM","","","","","","0.91","0.92","0.92","0.010"
"1/23/2026, 1:33:57 AM","","","","","","0.91","0.92","0.92","0.010"
"1/23/2026, 1:33:50 AM","","","","","","0.91","0.92","0.92","0.010"
"1/23/2026, 1:33:46 AM","","","","","","0.91","0.92","0.92","0.010"
"1/23/2026, 1:33:27 AM","","","","","","0.91","0.92","0.92","0.010"
"1/23/2026, 1:33:19 AM","","","","","","0.93","0.94","0.94","0.010"
"1/23/2026, 1:33:15 AM","","","","","","0.93","0.94","0.94","0.010"
"1/23/2026, 1:32:57 AM","","","","","","0.93","0.94","0.94","0.010"
"1/23/2026, 1:32:49 AM","","","","","","0.93","0.94","0.94","0.010"
"1/23/2026, 1:32:45 AM","","","","","","0.93","0.94","0.94","0.010"
"1/23/2026, 1:32:27 AM","","","","","","0.93","0.94","0.94","0.010"
"1/23/2026, 1:32:20 AM","","","","","","0.93","0.94","0.94","0.010"
"1/23/2026, 1:32:15 AM","","","","","","0.93","0.94","0.94","0.010"
"1/23/2026, 1:31:57 AM","","","","","","0.93","0.94","0.94","0.010"
"1/23/2026, 1:31:49 AM","","","","","","0.93","0.94","0.94","0.010"
"1/23/2026, 1:31:45 AM","","","","","","0.93","0.94","0.94","0.010"
"1/23/2026, 1:31:27 AM","","","","","","0.93","0.94","0.94","0.010"
"1/23/2026, 1:31:20 AM","","","","","","0.93","0.94","0.94","0.010"
"1/23/2026, 1:31:15 AM","","","","","","0.93","0.94","0.94","0.010"
"1/23/2026, 1:30:58 AM","","","","","","0.93","0.94","0.94","0.010"
"1/23/2026, 1:30:49 AM","","","","","","0.92","0.93","0.93","0.010"
"1/23/2026, 1:30:45 AM","","","","","","0.92","0.93","0.93","0.010"
"1/23/2026, 1:30:27 AM","","","","","","0.92","0.93","0.93","0.010"
"1/23/2026, 1:30:19 AM","","","","","","0.92","0.93","0.93","0.010"
"1/23/2026, 1:30:15 AM","","","","","","0.92","0.93","0.93","0.010"
"1/23/2026, 1:29:57 AM","","","","","","0.92","0.93","0.93","0.010"
"1/23/2026, 1:29:49 AM","","","","","","0.92","0.93","0.93","0.010"
"1/23/2026, 1:29:45 AM","","","","","","0.92","0.93","0.93","0.010"
"1/23/2026, 1:29:27 AM","","","","","","0.92","0.93","0.93","0.010"
"1/23/2026, 1:29:19 AM","","","","","","0.92","0.93","0.93","0.010"
"1/23/2026, 1:29:15 AM","","","","","","0.92","0.93","0.93","0.010"
"1/23/2026, 1:28:57 AM","","","","","","0.92","0.93","0.93","0.010"
"1/23/2026, 1:28:49 AM","","","","","","0.92","0.93","0.93","0.010"
"1/23/2026, 1:28:45 AM","","","","","","0.92","0.93","0.93","0.010"
"1/23/2026, 1:28:27 AM","","","","","","0.91","0.92","0.92","0.010"
"1/23/2026, 1:28:19 AM","","","","","","0.91","0.92","0.92","0.010"
"1/23/2026, 1:28:15 AM","","","","","","0.91","0.92","0.92","0.010"
"1/23/2026, 1:27:57 AM","","","","","","0.91","0.92","0.92","0.010"
"1/23/2026, 1:27:49 AM","","","","","","0.91","0.92","0.92","0.010"
"1/23/2026, 1:27:44 AM","","","","","","0.91","0.92","0.92","0.010"
"1/23/2026, 1:27:27 AM","","","","","","0.91","0.92","0.92","0.010"
"1/23/2026, 1:27:19 AM","","","","","","0.91","0.92","0.92","0.010"
"1/23/2026, 1:27:15 AM","","","","","","0.91","0.92","0.92","0.010"
"1/23/2026, 1:26:57 AM","","","","","","0.91","0.92","0.92","0.010"
"1/23/2026, 1:26:49 AM","","","","","","0.91","0.92","0.92","0.010"
"1/23/2026, 1:26:44 AM","","","","","","0.91","0.92","0.92","0.010"
"1/23/2026, 1:26:37 AM","","","","","","0.91","0.92","0.92","0.010"
"1/23/2026, 1:26:23 AM","","","","","","0.91","0.92","0.92","0.010"
"1/23/2026, 1:26:17 AM","","","","","","0.91","0.92","0.92","0.010"
